"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2020",1197917.93677558,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2021",1259414.4405574,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2022",1302655.0037414,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2023",1343408,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2024",1382308,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2025",1420290,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2026",1458150,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2027",1496279,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2028",1534820,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2029",1573857,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2030",1613475,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2031",1653734,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2032",1694653,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2033",1736199,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2034",1778305,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2035",1820914,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2036",1864007,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2037",1907572,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2038",1951647,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2039",1996285,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2040",2041542,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2041",2087444,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2042",2133960,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2043",2180996,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2044",2228435,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2045",2276186,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2046",2324232,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2047",2372592,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2048",2421374,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2049",2470749,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2050",2520930,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2051",2572145,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2052",2624589,
"AUS","GDPLTFORECAST","TOT","MLN_USD","A","2053",2678432,
