Country,Indicator,Sex,Education Level,Wealth Quintile,Residence,Value,Time
Afghanistan,Adjusted net attendance rate for children of primary school age,Female,Primary education,Total,Total,53.2,2015
Afghanistan,Adjusted net attendance rate for children of primary school age,Male,Primary education,Total,Total,73.1,2015
Afghanistan,Adjusted net attendance rate for children of primary school age, Total,Primary education,Lowest,Total,59.4,2015
Afghanistan,Adjusted net attendance rate for children of primary school age, Total,Primary education,Second,Total,53.8,2015
Afghanistan,Adjusted net attendance rate for children of primary school age, Total,Primary education,Middle,Total,55.6,2015
Afghanistan,Adjusted net attendance rate for children of primary school age, Total,Primary education,Fourth,Total,68.2,2015
Afghanistan,Adjusted net attendance rate for children of primary school age, Total,Primary education,Highest,Total,83.3,2015
Afghanistan,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,ural,58.6,2015
Afghanistan,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,rban,80.3,2015
Afghanistan,Adjusted net attendance rate for children of primary school age, Total,Primary education,Total,Total,63.7,2015
Afghanistan,mpletion rate for children of primary school age,Female,Primary education,Total,Total,40.2,2015
Afghanistan,mpletion rate for children of primary school age,Male,Primary education,Total,Total,67.2,2015
Afghanistan,mpletion rate for children of primary school age, Total,Primary education,Lowest,Total,44.5,2015
Afghanistan,mpletion rate for children of primary school age, Total,Primary education,Second,Total,46.0,2015
Afghanistan,mpletion rate for children of primary school age, Total,Primary education,Middle,Total,42.6,2015
Afghanistan,mpletion rate for children of primary school age, Total,Primary education,Fourth,Total,60.0,2015
Afghanistan,mpletion rate for children of primary school age, Total,Primary education,Highest,Total,74.5,2015
Afghanistan,mpletion rate for children of primary school age, Total,Primary education,Total,ural,47.8,2015
Afghanistan,mpletion rate for children of primary school age, Total,Primary education,Total,rban,70.8,2015
Afghanistan,mpletion rate for children of primary school age, Total,Primary education,Total,Total,53.9,2015
Afghanistan,roportion of students at the end of primary achieving at least a minimum proficiency level in mathematics, Total,Primary education,Total,Total,11.0,2013
Afghanistan,Proportion of students at the end of primary achieving at least a minimum proficiency level in reading, Total,Primary education,Total,Total,13.0,2013
Afghanistan, Out-of-school rate for children of primary school age,Female,Primary education,Total,Total,47.1,2015
