DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,EDUCATION_LEVEL:Education Level,WEALTH_QUINTILE:Wealth Quintile,RESIDENCE:Residence,UNIT_MEASURE:Unit of measure,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,SOURCE_LINK:Citation of or link to the data source,SERIES_FOOTNOTE:Series footnote,OBS_STATUS:Observation Status,DATA_SOURCE:Data Source,OBS_CONF:Observation confidentaility,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,COVERAGE_TIME:The period of time for which data are provided,OBS_FOOTNOTE:Observation footnote,FREQ_COLL:Time interval at which the source data are collected
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_15-24_LR: Youth literacy rate for 15-24 years,F: Female,_T: Total,_T: Total,_T: Total,PCNT: %,2021,41.59372,,,,,UIS,,,2021,,
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_15-24_LR: Youth literacy rate for 15-24 years,M: Male,_T: Total,_T: Total,_T: Total,PCNT: %,2021,71.24394,,,,,UIS,,,2021,,
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,ED_15-24_LR: Youth literacy rate for 15-24 years,_T: Total,_T: Total,_T: Total,_T: Total,PCNT: %,2021,55.9294,,,,,UIS,,,2021,,
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",F: Female,ISCED11_02: Pre-primary education,_T: Total,_T: Total,PCNT: %,2015,29.30606,,,,AD: Adjusted,DHS 2015,F: Free,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",M: Male,ISCED11_02: Pre-primary education,_T: Total,_T: Total,PCNT: %,2015,38.49747,,,,AD: Adjusted,DHS 2015,F: Free,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,Q1: Lowest,_T: Total,PCNT: %,2015,37.52744,,,,AD: Adjusted,DHS 2015,F: Free,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,Q2: Second,_T: Total,PCNT: %,2015,33.84539,,,,AD: Adjusted,DHS 2015,F: Free,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,Q3: Middle,_T: Total,PCNT: %,2015,31.80792,,,,AD: Adjusted,DHS 2015,F: Free,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,Q4: Fourth,_T: Total,PCNT: %,2015,32.20451,,,,AD: Adjusted,DHS 2015,F: Free,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,Q5: Highest,_T: Total,PCNT: %,2015,35.63166,,,,AD: Adjusted,DHS 2015,F: Free,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,_T: Total,R: Rural,PCNT: %,2015,34.34432,,,,AD: Adjusted,DHS 2015,F: Free,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,_T: Total,U: Urban,PCNT: %,2015,33.47069,,,,AD: Adjusted,DHS 2015,F: Free,EOF: End of fieldwork,2015,,0: Not Known
UNICEF:EDUCATION(1.0): Education,AFG: Afghanistan,"ED_ANAR_L02: Adjusted net attendance rate, one year before the official primary entry age",_T: Total,ISCED11_02: Pre-primary education,_T: Total,_T: Total,PCNT: %,2015,34.13606,,,,AD: Adjusted,DHS 2015,F: Free,EOF: End of fieldwork,2015,,0: Not Known
