NAME,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,ADDRESS,STATE,ZIP,TYPE,COUNTY,LATITUDE,LONGITUDE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,TOT_EMPLOY,NAICS_DESC,EMPLOYEE/STUDENT RATIO,INCOME
Massachusetts Institute of Technology,Engineering,"$72,200.00","$126,000.00","$76,800.00","$99,200.00","$168,000.00","$220,000.00",77 Massachusetts Avenue,MA,2139,private non-profit,Middlesex,42.360095,-71.092115,172,11017,11189,12070,"Colleges, Universities, and Professional Schools",0.9270091135045568,"65,542"
California Institute of Technology,Engineering,"$75,500.00","$123,000.00",,"$104,000.00","$161,000.00",,1200 E California Blvd,CA,91125,private non-profit,Los Angeles,34.139181,-118.125567,0,2273,2273,3222,"Colleges, Universities, and Professional Schools",0.7054624456859093,"62,096"
Harvey Mudd College,Engineering,"$71,800.00","$122,000.00",,"$96,000.00","$180,000.00",,301 Platt Blvd.,CA,91711,private non-profit,Los Angeles,34.105717,-117.709758,3,779,782,322,"Colleges, Universities, and Professional Schools",2.4285714285714284,"62,096"
Polytechnic University of New York,Engineering,"$62,400.00","$114,000.00","$66,800.00","$94,300.00","$143,000.00","$190,000.00",Six Metrotech Ctr,NY,11201,private non-profit,Kings,40.694371,-73.986774,1116,3536,4652,719,"Colleges, Universities, and Professional Schools",6.47009735744089,"56,189"
Cooper Union,Engineering,"$62,200.00","$114,000.00",,"$80,200.00","$142,000.00",,7 East 7th Street,NY,10003,private non-profit,New York,40.72938,-73.990516,36,903,939,415,"Colleges, Universities, and Professional Schools",2.2626506024096384,"56,189"
Worcester Polytechnic Institute,Engineering,"$61,000.00","$114,000.00","$80,000.00","$91,200.00","$137,000.00","$180,000.00",100 Institute Road,MA,1609,private non-profit,Worcester,42.274953,-71.807916,1515,4442,5957,1066,"Colleges, Universities, and Professional Schools",5.588180112570356,"65,542"
Carnegie Mellon University,Engineering,"$61,800.00","$111,000.00","$63,300.00","$80,100.00","$150,000.00","$209,000.00",5000 Forbes Avenue,PA,15213,private non-profit,Allegheny,40.443598,-79.943485,1082,10896,11978,5178,"Colleges, Universities, and Professional Schools",2.313248358439552,"57,812"
Rensselaer Polytechnic Institute,Engineering,"$61,100.00","$110,000.00","$71,600.00","$85,500.00","$140,000.00","$182,000.00",110 8th St,NY,12180,private non-profit,Rensselaer,42.728983,-73.678768,90,6459,6549,1842,"Colleges, Universities, and Professional Schools",3.555374592833876,"56,189"
Georgia Institute of Technology,Engineering,"$58,300.00","$106,000.00","$67,200.00","$85,200.00","$137,000.00","$183,000.00",225 North Ave,GA,30332,public,Fulton,33.773732,-84.396019,2709,18848,21557,7179,"Colleges, Universities, and Professional Schools",3.0027859033291544,"50,190"
Colorado School of Mines,Engineering,"$58,100.00","$106,000.00","$62,200.00","$87,900.00","$142,000.00","$201,000.00",1500 Illinois St,CO,80401,public,Jefferson,39.749092,-105.222907,554,5113,5667,1068,"Colleges, Universities, and Professional Schools",5.306179775280899,"63,803"
Stevens Institute of Technology,Engineering,"$60,600.00","$105,000.00","$68,700.00","$81,900.00","$138,000.00","$185,000.00",Castle Point On Hudson,NJ,7030,private non-profit,Hudson,40.744776,-74.025334,1717,3933,5650,855,"Colleges, Universities, and Professional Schools",6.608187134502924,"66,838"
Illinois Institute of Technology,Engineering,"$56,000.00","$97,800.00","$56,100.00","$77,400.00","$121,000.00","$165,000.00",3300 S Federal St,IL,60616,private non-profit,Cook,41.833801,-87.628346,1392,6292,7684,1566,"Colleges, Universities, and Professional Schools",4.9067688378033205,"57,696"
Wentworth Institute of Technology,Engineering,"$53,000.00","$96,700.00","$55,200.00","$74,000.00","$117,000.00","$153,000.00",550 Huntington Ave,MA,2115,private non-profit,Suffolk,42.336632,-71.094983,462,3681,4143,715,"Colleges, Universities, and Professional Schools",5.794405594405594,"65,542"
Virginia Polytechnic Institute and State University,Engineering,"$53,500.00","$95,400.00","$50,600.00","$71,400.00","$124,000.00","$163,000.00",222 Burruss Hall,VA,24061,public,Montgomery,37.229906,-80.419988,2824,28263,31087,7595,"Colleges, Universities, and Professional Schools",4.093087557603687,"63,858"
South Dakota School of Mines and Technology,Engineering,"$55,800.00","$93,400.00","$71,500.00","$81,900.00","$122,000.00","$147,000.00",501 E Saint Joseph St,SD,57701,public,Pennington,44.075439,-103.205753,490,1934,2424,379,"Colleges, Universities, and Professional Schools",6.395778364116095,"54,090"
New Mexico Institute of Mining and Technology,Engineering,"$51,000.00","$93,400.00",,"$67,400.00","$123,000.00",,801 Leroy Place,NM,87801,public,Socorro,34.06619,-106.907701,366,1607,1973,813,"Colleges, Universities, and Professional Schools",2.4268142681426816,"45,929"
Rochester Institute of Technology,Engineering,"$48,900.00","$84,600.00","$45,000.00","$62,100.00","$112,000.00","$159,000.00",1 Lomb Memorial Dr,NY,14623,private non-profit,Monroe,43.084436,-77.673854,2057,14041,16098,3745,"Colleges, Universities, and Professional Schools",4.298531375166889,"56,189"
Embry-Riddle Aeronautical University,Engineering,"$52,700.00","$80,700.00","$49,800.00","$64,000.00","$106,000.00","$142,000.00",600 S Clyde Morris Blvd,FL,32114,private non-profit,Volusia,29.189244,-81.0495,425,4695,5120,1266,"Colleges, Universities, and Professional Schools",4.044233807266982,"47,509"
Tennessee Technological University,Engineering,"$46,200.00","$80,000.00","$42,100.00","$62,600.00","$99,500.00","$121,000.00",1 William L. Jones Drive,TN,38505,public,Putnam,36.174659,-85.503957,2214,9273,11487,1297,"Colleges, Universities, and Professional Schools",8.856592135697763,"45,548"
University of Illinois at Urbana-Champaign,Party,"$52,900.00","$96,100.00","$48,200.00","$68,900.00","$132,000.00","$177,000.00",601 E John Street,IL,61820,public,Champaign,40.108312,-88.228482,3745,40714,44459,11176,"Colleges, Universities, and Professional Schools",3.978078024337867,"57,696"
University of Illinois at Urbana-Champaign,State,"$52,900.00","$96,100.00","$48,200.00","$68,900.00","$132,000.00","$177,000.00",601 E John Street,IL,61820,public,Champaign,40.108312,-88.228482,3745,40714,44459,11176,"Colleges, Universities, and Professional Schools",3.978078024337867,"57,696"
State University of New York (SUNY) at Albany,Party,"$44,500.00","$92,200.00","$47,000.00","$63,100.00","$135,000.00","$209,000.00",1400 Washington Avenue,NY,12222,public,Albany,42.686917,-73.825014,3067,14211,17278,2919,"Colleges, Universities, and Professional Schools",5.919150393970538,"56,189"
State University of New York (SUNY) at Albany,State,"$44,500.00","$92,200.00","$47,000.00","$63,100.00","$135,000.00","$209,000.00",1400 Washington Avenue,NY,12222,public,Albany,42.686917,-73.825014,3067,14211,17278,2919,"Colleges, Universities, and Professional Schools",5.919150393970538,"56,189"
University of Florida,Party,"$47,100.00","$87,900.00","$45,400.00","$62,900.00","$120,000.00","$172,000.00",355 Tigert Hall,FL,32611,public,Alachua,29.638248,-82.361195,7048,42865,49913,13745,"Colleges, Universities, and Professional Schools",3.631356857038923,"47,509"
University of Florida,State,"$47,100.00","$87,900.00","$45,400.00","$62,900.00","$120,000.00","$172,000.00",355 Tigert Hall,FL,32611,public,Alachua,29.638248,-82.361195,7048,42865,49913,13745,"Colleges, Universities, and Professional Schools",3.631356857038923,"47,509"
University of Georgia,Party,"$44,100.00","$86,000.00","$43,100.00","$57,800.00","$118,000.00","$164,000.00",Administration Building,GA,30602,public,Clarke,33.937727,-83.37143,3402,31117,34519,9968,"Colleges, Universities, and Professional Schools",3.462981540930979,"50,190"
University of Georgia,State,"$44,100.00","$86,000.00","$43,100.00","$57,800.00","$118,000.00","$164,000.00",Administration Building,GA,30602,public,Clarke,33.937727,-83.37143,3402,31117,34519,9968,"Colleges, Universities, and Professional Schools",3.462981540930979,"50,190"
Pennsylvania State University,Party,"$49,900.00","$85,700.00","$46,300.00","$62,000.00","$117,000.00","$160,000.00",201 Old Main,PA,16802,public,Centre,40.800732,-77.861644,2113,43515,45628,14117,"Colleges, Universities, and Professional Schools",3.2321314726924983,"57,812"
Pennsylvania State University,State,"$49,900.00","$85,700.00","$46,300.00","$62,000.00","$117,000.00","$160,000.00",201 Old Main,PA,16802,public,Centre,40.800732,-77.861644,2113,43515,45628,14117,"Colleges, Universities, and Professional Schools",3.2321314726924983,"57,812"
Arizona State University,Party,"$47,400.00","$84,100.00","$44,600.00","$60,700.00","$114,000.00","$163,000.00",University Drive and Mill Avenue,AZ,85287,public,Maricopa,33.41728,-111.935499,14316,59062,73378,8907,"Colleges, Universities, and Professional Schools",8.238239586841809,"50,779"
Arizona State University,State,"$47,400.00","$84,100.00","$44,600.00","$60,700.00","$114,000.00","$163,000.00",University Drive and Mill Avenue,AZ,85287,public,Maricopa,33.41728,-111.935499,14316,59062,73378,8907,"Colleges, Universities, and Professional Schools",8.238239586841809,"50,779"
Indiana University-Bloomington,Party,"$46,300.00","$84,000.00","$43,600.00","$60,400.00","$119,000.00","$178,000.00",107 South Indiana Ave.,IN,47405,public,Monroe,39.167739,-86.523585,4870,37263,42133,8329,"Colleges, Universities, and Professional Schools",5.058590467042862,"50,049"
Indiana University-Bloomington,State,"$46,300.00","$84,000.00","$43,600.00","$60,400.00","$119,000.00","$178,000.00",107 South Indiana Ave.,IN,47405,public,Monroe,39.167739,-86.523585,4870,37263,42133,8329,"Colleges, Universities, and Professional Schools",5.058590467042862,"50,049"
University of Iowa,Party,"$44,700.00","$83,900.00","$43,300.00","$61,100.00","$116,000.00","$163,000.00",101 Jessup Hall,IA,52242,public,Johnson,41.660695,-91.535698,5557,24572,30129,10171,"Colleges, Universities, and Professional Schools",2.962245600235965,"59,366"
University of Iowa,State,"$44,700.00","$83,900.00","$43,300.00","$61,100.00","$116,000.00","$163,000.00",101 Jessup Hall,IA,52242,public,Johnson,41.660695,-91.535698,5557,24572,30129,10171,"Colleges, Universities, and Professional Schools",2.962245600235965,"59,366"
