NAME,ADDRESS,STATE,ZIP,TYPE,COUNTY,LATITUDE,LONGITUDE,PT_ENROLL,FT_ENROLL,TOT_ENROLL,TOT_EMPLOY,NAICS_DESC,EMPLOYEE/STUDENT RATIO,INCOME,POPULATION
Shorter College,604 Locust St,AR,72114,private non-profit,Pulaski,34.759308,-92.26049,24,28,52,18,Junior Colleges,2.888888888888889,"43,886","3,017,804"
Regency Beauty Institute-Fayetteville,4107 Steele Boulevard,AR,72703,private for profit,Washington,36.126365,-94.156136,11,35,46,5,Cosmetology and Barber Schools,9.2,"43,886","3,017,804"
Salon Professional Academy (The),4619 John F Kennedy Boulevard,AR,72116,private for profit,Pulaski,34.797448,-92.256873,18,38,56,11,Cosmetology and Barber Schools,5.090909090909091,"43,886","3,017,804"
Regency Beauty Institute-Little Rock,2614 South Shackleford Road,AR,72205,private for profit,Pulaski,34.7308,-92.397895,14,66,80,7,Cosmetology and Barber Schools,11.428571428571429,"43,886","3,017,804"
Strayer University-Arkansas,10825 Financial Centre Pkwy Ste 400,AR,72211,private for profit,Pulaski,34.747277,-92.396037,191,19,210,32,"Colleges, Universities, and Professional Schools",6.5625,"43,886","3,017,804"
University of Phoenix-Little Rock Campus,10800 Financial Centre Pkwy,AR,72211,private for profit,Pulaski,34.749167,-92.395199,0,689,689,172,"Colleges, Universities, and Professional Schools",4.005813953488372,"43,886","3,017,804"
Arthur's Beauty School Inc-Pine Bluff,2710 Commerce Circle,AR,71601,private for profit,Jefferson,34.22157,-91.974674,0,42,42,4,Cosmetology and Barber Schools,10.5,"43,886","3,017,804"
Arthur's Beauty School Inc-Conway,2320 Washington Ave,AR,72032,private for profit,Faulkner,35.109134,-92.44599,0,73,73,6,Cosmetology and Barber Schools,12.166666666666666,"43,886","3,017,804"
Blue Cliff College-Fayetteville,3448 N. College,AR,72703,private for profit,Washington,36.097111,-94.158997,101,152,253,51,Other Technical and Trade Schools,4.96078431372549,"43,886","3,017,804"
Bryan University,3704 W. Walnut St.,AR,72756,private for profit,Benton,36.334163,-94.17008,0,177,177,31,Junior Colleges,5.709677419354839,"43,886","3,017,804"
Lynndale Fundamentals of Beauty School LLC,1729 Champagnolle Rd,AR,71730,private for profit,Union,33.224401,-92.64438,0,10,10,4,Cosmetology and Barber Schools,2.5,"43,886","3,017,804"
University of Arkansas at Little Rock,2801 S University Ave,AR,72204,public,Pulaski,34.723479,-92.340574,5989,6883,12872,1833,"Colleges, Universities, and Professional Schools",7.022367703218767,"43,886","3,017,804"
Arkansas Baptist College,1621 Dr. Martin Luther King Drive,AR,72202,private non-profit,Pulaski,34.734885,-92.290484,170,912,1082,173,"Colleges, Universities, and Professional Schools",6.254335260115607,"43,886","3,017,804"
Arkansas Beauty School,5108 Baseline Rd,AR,72209,private for profit,Pulaski,34.669071,-92.334814,15,28,43,6,Cosmetology and Barber Schools,7.166666666666667,"43,886","3,017,804"
Arkansas Beauty College,109 N Commerce St,AR,72801,private for profit,Pope,35.279018,-93.135363,0,34,34,6,Cosmetology and Barber Schools,5.666666666666667,"43,886","3,017,804"
Lyon College,2300 Highland Road,AR,72501,private non-profit,Independence,35.778163,-91.626188,23,577,600,144,"Colleges, Universities, and Professional Schools",4.166666666666667,"43,886","3,017,804"
